chroma_stft_mean,chroma_cqt_mean,chroma_cens_mean,melspectogram_mean,rms_mean,centroid_mean,bandwidth_mean,contrast_mean,flatness_mean,rolloff_mean,crossing_rate_mean,tempogram_mean,fourier_tempogram_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_14_mean,mfcc_15_mean,mfcc_16_mean,mfcc_17_mean,mfcc_18_mean,mfcc_19_mean,mfcc_20_mean,mfcc_21_mean,mfcc_22_mean,mfcc_23_mean,mfcc_24_mean,mfcc_25_mean,mfcc_26_mean,mfcc_27_mean,mfcc_28_mean,mfcc_29_mean,mfcc_30_mean,mfcc_31_mean,mfcc_32_mean,mfcc_33_mean,mfcc_34_mean,mfcc_35_mean,mfcc_36_mean,mfcc_37_mean,mfcc_38_mean,mfcc_39_mean,mfcc_40_mean,Label
0.6148002,0.74366254,0.28229356,7.9815946,0.20321725,1353.0854206846284,1791.253520856873,16.09893839954035,0.00016206103,2602.7088994565215,0.036134227807971014,0.2805356354630932,(0.4022315442562103+0.0012268945574760437j),-136.37428,237.69666,-48.400726,35.357746,-14.744243,-15.686935,6.785076,6.7895494,11.267555,-14.3413315,-5.8965826,1.0983149,2.8773754,8.252522,-6.9567084,-3.211282,2.0327756,-0.31285605,0.11006549,-6.5391264,-5.2456145,0.34644586,-0.7840079,-9.635146,-2.849314,3.9998624,-4.521297,-4.184748,-2.0251296,-3.1641283,-1.2116611,3.0160987,-1.092102,-6.8541446,-1.6451731,-1.4129176,-2.1776175,1.1200632,-1.5664884,-0.8656965,203929-7-5-1.wav
0.48987588,0.60913616,0.2778354,3.7978055,0.12305848,3132.2064767922748,3507.281547065508,19.33570780633493,0.0005790115,7443.68503736413,0.08455615942028985,0.203273301005188,(0.4768637716770172+0.00011315011943224818j),-158.44789,138.48395,-13.137257,59.57646,-34.0237,39.043457,-9.380292,-2.0622962,2.906655,-10.536691,-1.627596,-4.096658,0.428315,-10.967715,-1.7127396,-6.637033,-8.773514,-5.7638674,-4.9035954,-2.2286448,-5.0100265,-7.4039855,0.26296565,2.5895746,-12.3774,-5.5958395,6.79965,-5.580693,-3.737986,-1.1219025,-4.882637,5.07881,-0.6927357,-6.4002314,1.3063391,2.1765833,-0.69905704,-3.6201985,-0.2171339,-3.9104857,196384-9-0-2.wav
0.44998986,0.56510663,0.26829994,6.6373196,0.18247356,2443.1594810961083,3451.418370874295,15.244416752157742,0.0028845735,5196.991762907609,0.043417402626811596,0.19761422044454696,(0.5803484916687012-0.0020995864178985357j),-99.75404,162.04024,-14.49348,26.727978,-20.851673,13.375532,-18.863981,13.863074,-0.18183382,9.856716,-7.454863,2.9899235,-7.244158,-9.855583,-1.9316133,-5.7153435,0.88085383,-0.6768449,-7.423887,-8.831944,-2.619076,-3.5247467,-0.00602344,0.17843956,-2.44618,5.462921,3.5529885,2.8881004,5.1658216,2.959513,2.927667,4.1524434,0.378512,5.749336,0.8909083,3.0277536,1.7233604,1.6394027,-5.409401,-2.302426,169098-7-4-6.wav
0.53878456,0.5434697,0.26978648,4.7219796,0.14787343,2659.9431361541133,3996.5085890330106,14.367642900258952,0.0046065524,5333.618376358696,0.04030089447463768,0.28033495548584464,(0.4334917366504669+0.00013695459347218275j),-126.02487,148.94292,-11.165408,6.732163,0.9471656,18.634953,1.017835,30.998865,-2.7629752,4.8303757,-8.878246,12.583925,1.3842083,3.398365,-5.2308097,-2.4872837,-7.29571,3.384859,-0.8652187,-2.828576,-5.671534,-2.4498682,-4.6873894,0.78815174,-2.6031713,-3.461173,-6.535779,-1.2687515,-1.4692214,0.3494587,-2.2782583,0.19511327,-2.9387016,-0.43636447,-1.6547881,-1.0316571,-4.6625,-3.5181656,-2.9369037,-1.494602,123688-8-0-4.wav
0.459,0.5779192,0.27227005,2.301631,0.06616709,3238.4603778271626,3639.6155154710027,15.578648182929939,0.011396411,6219.413213315217,0.07251754981884058,0.13251866854224112,(0.449008971452713-0.02257539890706539j),-348.5636,73.94211,-38.623016,-11.35644,-8.7220545,2.7170644,-8.230537,10.524026,13.217148,13.484651,10.447662,5.1374846,0.4070293,2.5319417,4.9070315,5.308679,-0.24447083,-3.7386527,0.093502566,3.8274918,2.3536463,3.479977,-0.08966025,1.1033416,1.1395333,-0.6059789,-0.8261603,-0.4115947,-1.1147953,-1.3237739,-1.6220481,-1.9914258,-1.459769,-0.96670234,-2.0400388,-1.0659243,-2.3334258,-3.063402,-2.082179,-0.42429304,174994-3-0-0.wav
0.10075796,0.5468615,0.25934207,1.0213422,0.03374662,476.90088390555024,647.4871296722276,11.046490746726647,0.7921735,718.4600033967391,0.012113620923913044,0.0494562247209588,(0.07080152630805969-0.029707465320825577j),-495.193,35.973473,-8.096379,-3.5872927,-2.1007457,2.1350305,-1.4879837,-0.48115948,-1.2526066,-0.7191032,-0.8794916,-0.70251334,-0.60412854,0.66017383,-0.31784663,0.030771222,0.15669127,0.4928825,-0.65931094,-0.8322264,-1.1732701,-0.5366801,-0.030837597,0.7180717,0.52568245,-0.6926949,-0.7955637,-0.029933084,0.6466775,0.2681366,-0.10295226,0.25905743,0.5093504,0.8282016,-0.31295335,-0.7677345,-0.53713155,0.12924582,0.22720616,-0.2091148,18453-3-0-0.wav
0.5806729,0.44090053,0.25087127,5.9959655,0.17611143,2289.549470361117,3067.735092963158,19.046604416519155,0.0005324153,5058.367866847826,0.04396371150362319,0.27930414273857934,(0.4041784405708313+9.616889292374253e-05j),-97.63917,169.02658,-32.977993,49.920086,-19.553537,28.612282,-12.329025,16.903103,-10.975516,6.950352,-4.2811127,1.0078619,3.1981814,0.4292154,3.3146431,-1.5761117,5.6077766,0.31126726,6.253479,-3.290591,0.66196686,-2.3768084,3.6135395,-2.2077484,3.7786841,-1.7476294,0.32764068,0.70827276,1.1350658,2.579161,0.4754887,2.0012033,-2.4605339,2.6932883,-1.075561,1.5554755,-3.559515,1.4077996,-0.46118328,1.1061935,109703-2-0-134.wav
0.7128312,0.32599342,0.19636965,17.018053,0.28151235,1910.7739479766976,3816.827531426735,14.63788740001673,0.00089105073,3420.0968070652175,0.013671875,0.2795520970945596,(0.3996567726135254-0.001062661875039339j),-148.63023,155.47171,14.72939,18.023489,9.809017,23.056936,-1.7019097,17.424929,5.1586766,21.355253,-1.1841737,14.072385,-4.376036,2.0568137,0.64881414,2.3025022,4.845388,6.9227114,-3.25213,-0.21673721,6.170599,-3.1590226,5.1115522,-1.0468901,-3.5896707,5.747037,-3.046566,8.888379,3.3595395,7.952289,1.8208153,3.845909,1.4544775,6.797062,2.9959302,-0.8346499,8.216977,1.2124826,1.7178035,2.1573858,147926-0-0-44.wav
0.55514526,0.628994,0.27565083,1.5336022,0.09129581,3377.740373969923,4250.3954415659755,13.969233772934535,0.013625148,7188.84425951087,0.07318132925724638,0.20666049759098848,(0.5142784714698792+0.0014945062575861812j),-130.2006,131.45877,-21.765978,9.777686,-1.8977917,22.657661,0.059821706,23.990353,0.66305,9.181653,-12.076262,14.4766,0.4540991,3.8246062,-3.403975,1.7213804,-2.6723218,4.1254997,1.067134,0.22933316,-3.5768704,-0.6378655,-2.691773,2.026482,1.4903607,-2.6924028,-3.054755,0.84199256,-0.228745,2.365945,-0.6445716,-0.9624307,-3.1211948,1.174214,-0.91484755,0.48186213,-3.011457,0.27497464,-1.4665248,1.0385038,123688-8-0-13.wav
0.6283405,0.67441666,0.28037524,7.501756,0.19911751,1535.220524270873,1838.3425399382188,15.78940522698505,0.00017836125,3234.8488451086955,0.04213796422101449,0.27707638494873776,(0.3987751305103302-0.0005240040482021868j),-125.528465,237.78247,-65.36077,41.479412,-14.844776,-17.644411,8.458306,7.0645127,13.3929825,-10.47173,-0.032607865,1.5869966,-1.7802706,4.9523854,-6.273548,-2.9812458,0.4470245,-1.6273007,0.20556015,-7.311703,-4.8028817,2.7255127,0.94284225,-6.1589007,-1.5723716,3.9446838,-3.6095407,-1.5490113,0.9216316,-2.6508107,-3.4422123,0.83202326,-0.72190875,-6.6980042,0.22478215,-0.2820913,-4.0206575,0.26717442,-2.910147,-1.9749708,203929-7-7-3.wav
